id,cn006_orden,cn006_grado_avance,cn006_descripcion
avance_10,10,COLA,En cola de espera
avance_20,20,ASIGNADO,Asignado a responsable
avance_30,30,ANALISIS,En análisis de requerimientos
avance_40,40,DESARROLLO_25%,Desarrollo en un 25%
avance_50,50,DESARROLLO_50%,Desarrollo en un 50%
avance_60,60,DESARROLLO_75%,Desarrollo en un 75%
avance_70,70,DESARROLLO_100%,Desarrollo completado
avance_80,80,IMPLEMENTACION,Implementación en curso
avance_90,90,CERTIFICADO,Certificación finalizada
avance_100,100,FINALIZADO,Proyecto finalizado
